TrainingID,FarmerID,TrainingTopic,AttendanceDate,Location,Trainer,FeedbackScore
T001,F045,Soil Management,2024-03-02,Kumasi,Samuel Mensah,4
T002,F087,Crop Rotation,2024-03-03,Ejura,Grace Owusu,5
T003,F122,Agroecology,2024-03-04,Techiman,Kwaku Boateng,3
T004,F018,Pest Control,2024-03-05,Kumasi,Samuel Mensah,4
T005,F066,Soil Management,2024-03-06,Ejura,Grace Owusu,5
T006,F091,Agroecology,2024-03-07,Techiman,Kwaku Boateng,2
T007,F130,Crop Rotation,2024-03-08,Kumasi,Samuel Mensah,4
T008,F033,Pest Control,2024-03-09,Ejura,Grace Owusu,3
T009,F057,Soil Management,2024-03-10,Techiman,Kwaku Boateng,5
T010,F079,Crop Rotation,2024-03-11,Kumasi,Samuel Mensah,4
T011,F021,Pest Control,2024-03-12,Ejura,Grace Owusu,3
T012,F094,Agroecology,2024-03-13,Techiman,Kwaku Boateng,2
T013,F008,Soil Management,2024-03-14,Kumasi,Samuel Mensah,5
T014,F046,Crop Rotation,2024-03-15,Ejura,Grace Owusu,4
T015,F119,Pest Control,2024-03-16,Techiman,Kwaku Boateng,3
T016,F071,Agroecology,2024-03-17,Kumasi,Samuel Mensah,4
T017,F055,Soil Management,2024-03-18,Ejura,Grace Owusu,5
T018,F097,Crop Rotation,2024-03-19,Techiman,Kwaku Boateng,3
T019,F039,Pest Control,2024-03-20,Kumasi,Samuel Mensah,4
T020,F113,Agroecology,2024-03-21,Ejura,Grace Owusu,5
T021,F024,Soil Management,2024-03-22,Techiman,Kwaku Boateng,3
T022,F083,Crop Rotation,2024-03-23,Kumasi,Samuel Mensah,4
T023,F052,Pest Control,2024-03-24,Ejura,Grace Owusu,5
T024,F138,Agroecology,2024-03-25,Techiman,Kwaku Boateng,3
T025,F063,Soil Management,2024-03-26,Kumasi,Samuel Mensah,4
T026,F010,Crop Rotation,2024-03-27,Ejura,Grace Owusu,5
T027,F117,Pest Control,2024-03-28,Techiman,Kwaku Boateng,3
T028,F034,Agroecology,2024-03-29,Kumasi,Samuel Mensah,4
T029,F089,Soil Management,2024-03-30,Ejura,Grace Owusu,5
T030,F042,Crop Rotation,2024-03-31,Techiman,Kwaku Boateng,3
T031,F076,Pest Control,2024-04-01,Kumasi,Samuel Mensah,4
T032,F103,Agroecology,2024-04-02,Ejura,Grace Owusu,5
T033,F014,Soil Management,2024-04-03,Techiman,Kwaku Boateng,3
